cgpa,attendance,backlogs,internships,projects,certifications,aptitude_score,coding_score,technical_skills_score,communication_score,branch,skills,placement
7.29,66.42,0,1,6,1,91.1,60.84,71.61,86.95,EEE,Machine Learning:Advanced;Python:Beginner;JavaScript:Intermediate,1
6.65,59.0,3,2,1,3,52.79,36.86,98.67,53.33,CSE,C++:Intermediate;Machine Learning:Intermediate,0
7.74,98.51,0,0,0,1,44.16,33.43,49.11,65.33,MECH,HTML:Advanced;React:Advanced,0
5.04,75.6,0,2,6,3,71.86,78.79,64.04,94.88,EEE,Data Science:Intermediate;SQL:Advanced;React:Intermediate,1
5.16,62.91,0,1,4,0,48.48,89.95,46.65,41.78,IT,Data Science:Beginner;Machine Learning:Intermediate;Python:Intermediate;CSS:Beginner;C++:Intermediate,0
6.05,79.21,0,1,2,8,66.4,81.09,44.19,81.93,CSE,Data Science:Beginner;Machine Learning:Beginner;Python:Intermediate;C++:Beginner;Java:Intermediate,1
9.84,86.57,2,1,0,1,84.98,76.03,58.08,78.82,CSE,SQL:Beginner;HTML:Intermediate;Java:Intermediate;Python:Intermediate;Machine Learning:Intermediate,1
9.23,75.92,0,2,0,7,42.18,40.9,64.11,99.57,CIVIL,Java:Advanced;CSS:Beginner;HTML:Advanced;Data Science:Advanced;SQL:Beginner,1
7.16,90.39,0,0,3,0,70.63,48.38,60.9,66.07,CIVIL,C++:Intermediate;CSS:Intermediate;JavaScript:Beginner,1
7.17,84.07,1,0,2,8,70.85,82.02,52.48,70.8,IT,JavaScript:Advanced;CSS:Intermediate;React:Intermediate;Python:Intermediate,1
6.47,92.59,5,2,3,5,89.91,39.13,57.28,70.03,CSE,HTML:Intermediate;Java:Intermediate,0
6.99,63.38,1,0,0,4,92.4,76.45,91.41,85.33,EEE,Data Science:Beginner;SQL:Beginner;CSS:Beginner;React:Intermediate;Python:Advanced,1
7.49,99.56,0,0,1,5,73.43,46.55,36.38,41.07,MECH,CSS:Beginner;React:Advanced,0
7.38,82.88,0,2,0,0,76.72,75.56,94.17,83.56,ECE,Data Science:Intermediate;Java:Advanced;C++:Intermediate,1
8.15,70.06,0,1,3,4,51.38,89.61,97.69,76.16,IT,Java:Advanced;C++:Intermediate;SQL:Intermediate;Machine Learning:Intermediate,1
8.84,81.14,3,0,6,2,49.38,85.35,88.04,60.45,EEE,Python:Intermediate;HTML:Intermediate,1
9.33,98.55,0,0,5,2,64.22,94.67,50.68,43.17,EEE,CSS:Intermediate;Java:Beginner;HTML:Beginner,1
9.63,66.43,4,1,3,0,82.21,98.81,73.72,71.06,ECE,React:Beginner;JavaScript:Intermediate,1
8.09,65.17,0,1,5,4,41.91,99.41,71.82,78.63,ECE,HTML:Intermediate;Data Science:Intermediate;C++:Intermediate;React:Intermediate,1
7.07,69.86,0,1,3,3,73.4,75.31,61.71,54.62,IT,C++:Advanced;Machine Learning:Beginner;Python:Beginner,1
7.73,56.75,0,0,4,3,99.33,99.75,92.91,95.86,MECH,Machine Learning:Intermediate;React:Beginner;C++:Advanced,1
5.51,75.88,1,2,4,2,51.97,88.9,45.45,68.03,ECE,Java:Beginner;JavaScript:Intermediate,1
7.14,73.93,0,0,1,7,77.13,83.18,39.35,41.59,MECH,Machine Learning:Intermediate;Java:Beginner;SQL:Intermediate,1
9.64,92.53,3,1,6,4,82.49,84.77,74.64,61.1,CSE,SQL:Beginner;Java:Advanced;HTML:Intermediate;JavaScript:Intermediate;Data Science:Beginner,1
6.64,78.0,0,1,5,3,99.78,43.37,58.03,66.77,EEE,JavaScript:Advanced;Java:Beginner;C++:Intermediate;HTML:Intermediate;SQL:Beginner,1
5.74,60.75,3,2,4,6,54.21,33.34,39.97,42.71,CSE,HTML:Intermediate;Java:Beginner;CSS:Beginner;SQL:Beginner;Data Science:Intermediate,0
7.05,88.78,1,4,6,4,42.9,56.91,76.47,77.64,CIVIL,Python:Intermediate;C++:Advanced;JavaScript:Intermediate,1
7.57,99.19,3,0,2,2,38.38,46.72,54.93,66.94,EEE,Python:Beginner;React:Intermediate;CSS:Beginner;SQL:Advanced,0
6.01,60.25,3,3,5,8,84.22,68.75,56.52,99.09,ECE,SQL:Advanced;JavaScript:Beginner;C++:Advanced;React:Intermediate,1
7.0,97.49,2,0,2,2,78.41,65.61,94.66,55.11,CSE,Python:Intermediate;HTML:Advanced;Java:Beginner,0
8.36,68.69,1,1,6,3,79.89,86.45,58.7,84.5,ECE,C++:Advanced;HTML:Beginner;JavaScript:Intermediate;Machine Learning:Intermediate;React:Beginner,1
5.72,63.08,0,0,4,3,77.84,78.41,37.67,46.14,MECH,CSS:Advanced;Java:Advanced,0
9.38,74.0,0,1,1,0,39.06,54.35,47.79,49.68,ECE,Machine Learning:Advanced;HTML:Beginner;JavaScript:Intermediate,1
6.46,73.72,0,1,2,2,83.14,48.95,61.54,90.68,EEE,HTML:Intermediate;React:Intermediate,1
7.67,71.17,0,1,3,7,41.41,98.69,65.52,90.38,IT,SQL:Advanced;HTML:Intermediate;Python:Beginner;React:Intermediate,1
7.73,68.06,2,1,0,5,82.38,36.65,61.47,48.56,EEE,Machine Learning:Beginner;Python:Beginner;C++:Beginner,0
9.01,93.24,0,0,4,8,54.1,49.28,76.27,42.02,MECH,JavaScript:Intermediate;HTML:Intermediate;Java:Advanced;C++:Advanced;CSS:Advanced,1
6.59,66.57,0,0,1,4,44.36,47.89,40.83,58.41,EEE,Python:Beginner;SQL:Beginner;C++:Intermediate,0
5.73,69.99,1,0,6,5,64.35,48.49,75.89,62.65,ECE,C++:Beginner;SQL:Advanced;Machine Learning:Beginner,0
7.73,77.98,2,2,2,7,65.36,35.64,45.38,43.61,IT,Python:Advanced;Data Science:Intermediate;HTML:Intermediate;Machine Learning:Advanced,1
6.64,66.05,0,0,5,4,45.99,50.46,51.71,49.71,EEE,C++:Advanced;SQL:Beginner;Java:Advanced,1
5.68,67.66,2,1,1,1,49.16,65.24,89.05,87.71,MECH,HTML:Advanced;CSS:Beginner,0
6.95,71.2,0,0,6,2,60.75,36.67,77.56,68.85,ECE,React:Beginner;Data Science:Intermediate,1
5.85,80.96,2,1,0,7,38.45,44.55,61.66,91.36,MECH,Data Science:Advanced;SQL:Advanced;Python:Advanced;HTML:Intermediate;React:Beginner,0
7.46,90.71,4,1,1,3,71.19,99.95,58.32,55.65,CIVIL,C++:Advanced;Machine Learning:Intermediate;Python:Beginner,0
6.96,84.69,2,0,4,3,55.93,80.25,35.51,69.85,IT,C++:Beginner;CSS:Beginner;Machine Learning:Beginner;Java:Advanced;SQL:Intermediate,0
5.31,59.66,3,0,5,1,67.8,42.08,51.1,66.27,EEE,SQL:Intermediate;Data Science:Advanced;React:Intermediate,0
8.03,62.05,2,3,2,6,92.83,60.58,44.68,61.19,CSE,C++:Beginner;CSS:Advanced;Python:Intermediate,1
6.47,79.51,0,1,3,2,66.85,78.87,84.53,52.56,EEE,Java:Intermediate;C++:Intermediate;SQL:Beginner;Machine Learning:Advanced,1
9.79,58.45,3,1,3,5,38.77,80.09,64.5,85.07,IT,CSS:Advanced;C++:Advanced;JavaScript:Beginner;Python:Intermediate,1
9.96,70.97,0,2,4,3,95.54,55.8,36.39,69.85,EEE,Python:Advanced;React:Intermediate;HTML:Advanced;Java:Intermediate,1
6.19,77.8,0,1,4,1,61.9,62.37,52.8,90.2,IT,Data Science:Intermediate;Java:Advanced;JavaScript:Beginner,1
6.89,84.18,4,1,6,8,53.53,87.56,39.23,57.8,EEE,SQL:Intermediate;Java:Beginner;CSS:Advanced,1
6.47,61.49,2,3,3,3,48.7,45.72,83.55,47.03,CIVIL,HTML:Intermediate;Python:Intermediate;Data Science:Intermediate,0
6.63,59.39,0,0,3,1,73.89,77.99,73.77,89.19,ECE,Python:Advanced;Java:Advanced;JavaScript:Intermediate;HTML:Beginner;Machine Learning:Beginner,1
7.14,66.86,0,0,6,5,52.52,96.25,69.33,52.62,ECE,SQL:Intermediate;C++:Beginner,1
8.31,98.19,1,0,5,0,55.5,92.22,84.08,98.59,CSE,Data Science:Beginner;HTML:Intermediate;JavaScript:Intermediate,1
8.53,56.07,0,0,4,4,98.21,34.39,76.24,68.23,EEE,C++:Intermediate;Java:Intermediate;React:Advanced,1
6.94,96.31,3,0,5,5,41.71,97.79,76.18,56.41,CIVIL,Data Science:Intermediate;Machine Learning:Intermediate;C++:Intermediate;JavaScript:Advanced,0
6.92,63.6,1,2,5,5,66.62,91.96,63.47,51.37,CSE,Python:Intermediate;JavaScript:Advanced;CSS:Intermediate,1
7.09,76.07,2,0,5,6,89.04,88.91,69.03,96.28,CSE,React:Intermediate;Python:Advanced;JavaScript:Intermediate,1
8.71,79.08,1,3,1,4,48.36,33.32,88.17,44.26,ECE,Python:Intermediate;HTML:Beginner;Machine Learning:Beginner;SQL:Advanced;CSS:Intermediate,1
7.68,59.72,2,0,2,8,88.37,45.68,52.49,90.2,EEE,CSS:Intermediate;HTML:Intermediate;Java:Beginner;Data Science:Intermediate;Python:Advanced,0
7.96,68.77,2,1,2,2,72.43,81.56,89.22,76.16,EEE,React:Advanced;SQL:Intermediate,1
9.11,91.05,0,0,1,5,80.13,79.77,87.58,57.08,EEE,React:Beginner;Python:Beginner;JavaScript:Beginner,1
5.02,65.54,1,0,5,1,79.95,58.83,71.74,53.28,IT,Machine Learning:Intermediate;HTML:Intermediate;Java:Intermediate,0
9.39,74.28,1,1,6,4,39.19,67.99,75.75,94.59,IT,Data Science:Advanced;C++:Beginner;SQL:Intermediate;Machine Learning:Intermediate,1
7.97,81.08,1,0,5,4,57.75,64.82,82.74,41.0,CIVIL,HTML:Intermediate;Data Science:Advanced;SQL:Intermediate,1
5.35,86.33,1,1,5,6,46.09,56.23,80.76,51.88,IT,CSS:Beginner;JavaScript:Beginner,0
9.07,78.79,2,2,2,6,79.77,40.45,92.91,62.05,CIVIL,C++:Intermediate;Machine Learning:Advanced;Data Science:Advanced,1
8.97,81.31,0,0,0,7,79.75,40.85,85.1,54.92,EEE,Data Science:Advanced;SQL:Advanced,1
7.02,72.16,0,1,6,6,56.87,50.24,42.05,77.96,MECH,JavaScript:Advanced;Python:Intermediate;Machine Learning:Advanced;SQL:Beginner,1
7.19,67.79,0,2,0,5,98.52,81.27,88.58,92.44,MECH,Data Science:Beginner;JavaScript:Intermediate;Java:Advanced;Machine Learning:Beginner,1
7.5,75.61,3,0,1,8,54.82,64.3,83.39,41.1,CIVIL,SQL:Beginner;React:Beginner;JavaScript:Beginner;Machine Learning:Intermediate,0
7.49,80.62,1,0,5,8,93.38,81.9,58.63,41.97,CIVIL,SQL:Beginner;Machine Learning:Intermediate,1
7.71,70.65,0,1,2,4,87.67,71.37,84.22,60.46,MECH,HTML:Advanced;Python:Advanced;Java:Beginner;React:Advanced;JavaScript:Intermediate,1
6.34,71.69,0,0,6,8,86.96,82.25,36.32,74.03,CSE,React:Advanced;Data Science:Intermediate;JavaScript:Intermediate,1
5.8,86.65,2,0,3,5,54.34,96.3,39.34,56.53,EEE,Java:Intermediate;Python:Beginner;React:Intermediate,0
9.28,62.57,5,0,5,7,79.61,81.98,91.3,61.56,ECE,JavaScript:Beginner;Data Science:Beginner,1
7.44,71.61,2,2,1,3,96.21,66.08,90.57,78.38,MECH,Python:Intermediate;C++:Advanced;React:Beginner;Machine Learning:Advanced;Data Science:Beginner,1
9.67,90.13,1,1,2,5,47.94,32.94,64.44,40.22,ECE,SQL:Intermediate;Data Science:Advanced,1
5.95,76.41,3,0,4,2,97.55,49.25,48.38,89.78,MECH,Java:Beginner;Machine Learning:Advanced;SQL:Beginner;JavaScript:Intermediate;React:Intermediate,0
5.5,79.77,0,0,6,7,75.28,69.52,46.21,81.84,CSE,React:Intermediate;Machine Learning:Beginner;JavaScript:Beginner,1
5.77,85.49,1,0,6,1,46.69,52.17,37.61,97.35,CIVIL,HTML:Beginner;Data Science:Intermediate;React:Intermediate;SQL:Advanced,0
5.37,80.06,0,3,3,5,99.79,95.75,97.87,75.89,CIVIL,Python:Intermediate;React:Intermediate,1
5.77,81.59,0,0,6,3,53.16,54.71,97.51,42.53,ECE,Python:Intermediate;JavaScript:Intermediate,1
8.22,63.22,0,1,3,3,58.45,65.14,46.35,67.51,IT,JavaScript:Advanced;SQL:Intermediate;CSS:Beginner,1
7.92,68.73,2,2,3,2,59.43,31.58,78.84,65.24,CIVIL,SQL:Intermediate;Java:Beginner;JavaScript:Intermediate;Machine Learning:Advanced,1
6.38,75.57,0,0,4,7,89.81,97.41,57.84,64.94,EEE,C++:Advanced;HTML:Advanced;JavaScript:Advanced;CSS:Intermediate;React:Beginner,1
9.34,86.47,1,1,3,5,57.89,67.97,69.01,85.9,CSE,CSS:Beginner;HTML:Intermediate;SQL:Intermediate,1
5.37,66.25,0,0,5,1,36.81,60.24,36.56,87.83,ECE,JavaScript:Advanced;Java:Advanced;CSS:Advanced;Machine Learning:Intermediate,0
6.72,62.22,0,1,5,5,44.32,95.31,96.26,93.65,MECH,Java:Beginner;HTML:Beginner;SQL:Intermediate,1
9.09,63.68,0,0,4,5,54.6,63.19,84.46,72.01,IT,C++:Intermediate;JavaScript:Intermediate,1
5.15,94.04,1,0,1,1,93.35,54.75,35.82,72.57,CSE,JavaScript:Intermediate;Python:Beginner;React:Intermediate;C++:Advanced;SQL:Beginner,0
7.94,56.78,3,0,3,6,70.99,92.38,66.73,77.03,CSE,CSS:Intermediate;Data Science:Intermediate,1
6.16,57.73,0,1,4,1,52.41,75.38,92.79,47.02,MECH,CSS:Beginner;HTML:Beginner;Python:Intermediate;Java:Beginner,1
8.61,93.4,3,1,3,3,69.8,30.53,76.59,88.25,ECE,CSS:Beginner;Java:Intermediate;HTML:Intermediate,1
8.28,84.54,1,1,6,0,92.81,96.99,71.58,73.71,ECE,JavaScript:Intermediate;React:Advanced;SQL:Intermediate;Data Science:Intermediate,1
7.37,56.38,3,0,1,7,92.14,64.43,97.29,75.31,EEE,JavaScript:Intermediate;React:Intermediate;Data Science:Intermediate;Machine Learning:Advanced;Java:Beginner,0
7.56,86.48,0,1,2,1,97.34,64.51,78.4,63.47,CIVIL,CSS:Advanced;HTML:Beginner,1
8.03,57.14,0,1,5,1,87.21,50.0,46.82,40.95,EEE,Data Science:Intermediate;C++:Intermediate;HTML:Advanced;CSS:Intermediate,1
7.03,66.4,0,0,2,2,84.25,64.78,55.27,44.5,IT,React:Intermediate;CSS:Intermediate;Java:Intermediate;SQL:Beginner,1
8.03,59.19,2,1,5,3,60.28,55.54,74.91,78.73,MECH,Machine Learning:Intermediate;CSS:Intermediate;React:Intermediate;Data Science:Intermediate,1
8.19,88.71,2,1,0,4,70.16,46.38,49.45,51.95,CSE,Java:Intermediate;React:Intermediate;CSS:Beginner;Machine Learning:Intermediate;C++:Advanced,0
6.05,65.75,0,1,1,8,66.1,45.17,55.86,63.6,IT,SQL:Beginner;JavaScript:Intermediate;Machine Learning:Beginner;C++:Intermediate;HTML:Beginner,1
7.7,55.76,0,2,1,7,53.21,86.57,56.2,67.5,IT,CSS:Advanced;C++:Intermediate;Data Science:Intermediate;Python:Intermediate;Machine Learning:Intermediate,1
5.34,68.37,0,1,3,6,48.31,45.29,54.3,80.8,CSE,HTML:Intermediate;Java:Intermediate;React:Beginner;Machine Learning:Beginner;SQL:Intermediate,1
9.88,64.1,0,1,0,4,43.87,89.62,64.81,50.27,ECE,React:Intermediate;C++:Intermediate;Machine Learning:Beginner,1
6.47,58.58,0,2,5,7,71.35,83.62,41.08,83.09,EEE,JavaScript:Advanced;HTML:Advanced;Machine Learning:Intermediate,1
6.32,94.75,2,3,1,0,48.93,33.57,64.95,94.24,IT,Java:Beginner;HTML:Beginner,0
9.9,81.35,0,2,4,1,61.42,94.31,58.45,72.62,CSE,HTML:Beginner;React:Advanced;Python:Intermediate,1
5.6,72.52,1,0,5,7,37.77,93.49,97.58,68.07,CIVIL,React:Advanced;Python:Intermediate;C++:Intermediate;CSS:Intermediate;Data Science:Intermediate,1
8.01,89.15,0,0,5,7,82.36,53.23,41.12,64.21,CIVIL,HTML:Beginner;Data Science:Intermediate;CSS:Beginner;Java:Intermediate;C++:Beginner,1
7.29,70.85,0,0,5,0,41.7,58.23,95.54,62.89,EEE,CSS:Intermediate;Data Science:Beginner,1
9.87,79.33,0,1,5,8,46.51,71.83,76.02,78.15,MECH,Machine Learning:Intermediate;Data Science:Advanced;React:Intermediate;C++:Intermediate;JavaScript:Beginner,1
5.42,95.55,3,3,4,8,46.02,56.65,44.02,58.07,EEE,Java:Beginner;C++:Beginner;HTML:Advanced,0
7.75,87.89,1,1,4,7,96.35,49.75,64.32,54.33,MECH,Machine Learning:Beginner;React:Intermediate;JavaScript:Intermediate;Data Science:Intermediate,1
6.73,99.57,2,1,5,2,46.61,97.08,61.33,62.62,MECH,JavaScript:Beginner;SQL:Advanced;Python:Advanced;Data Science:Intermediate,1
5.96,72.83,0,0,5,2,56.17,66.15,65.8,75.71,EEE,JavaScript:Advanced;React:Intermediate;CSS:Intermediate;HTML:Intermediate,1
8.14,75.03,1,0,4,8,40.03,87.3,91.22,72.45,CIVIL,CSS:Intermediate;JavaScript:Beginner,1
7.61,93.8,0,1,3,4,35.94,59.97,91.72,54.87,EEE,Data Science:Intermediate;C++:Beginner;Python:Advanced,1
8.32,71.12,0,1,1,6,88.62,64.63,55.99,57.02,MECH,Data Science:Advanced;CSS:Advanced;SQL:Beginner,1
7.11,60.74,1,0,2,1,56.89,87.73,56.88,76.53,CSE,Java:Advanced;SQL:Advanced,0
5.7,90.17,0,1,5,2,52.31,69.21,43.93,94.2,IT,JavaScript:Advanced;Data Science:Beginner;CSS:Intermediate;SQL:Intermediate;React:Beginner,1
8.19,75.72,3,3,2,3,83.58,81.67,55.18,62.76,ECE,React:Intermediate;C++:Advanced;SQL:Beginner,1
9.6,81.6,2,3,1,6,52.8,91.86,38.32,62.96,IT,HTML:Intermediate;CSS:Advanced;Data Science:Advanced;Machine Learning:Intermediate;C++:Intermediate,1
5.8,88.3,0,0,0,7,61.67,91.59,90.36,99.25,IT,JavaScript:Intermediate;HTML:Intermediate;Machine Learning:Advanced;Data Science:Intermediate,1
5.17,64.18,1,1,1,1,53.45,49.91,68.79,77.01,EEE,C++:Advanced;CSS:Advanced;JavaScript:Intermediate;Machine Learning:Beginner;HTML:Intermediate,0
8.54,91.26,3,1,3,8,69.45,57.19,51.57,59.82,CSE,SQL:Intermediate;Java:Intermediate;JavaScript:Beginner;Python:Beginner;C++:Advanced,1
5.71,98.43,0,1,4,7,38.76,76.01,98.21,57.41,EEE,HTML:Advanced;Java:Beginner,1
6.36,84.65,1,1,5,4,91.98,80.45,73.29,63.64,ECE,Data Science:Advanced;React:Advanced;JavaScript:Intermediate,1
5.85,59.18,0,0,6,5,56.72,71.43,64.1,53.65,IT,Data Science:Advanced;HTML:Beginner;SQL:Advanced;C++:Intermediate,1
8.37,56.19,0,3,0,8,87.08,47.04,62.14,72.83,ECE,Python:Beginner;Data Science:Intermediate,1
5.73,92.88,0,1,2,7,39.16,81.8,58.0,75.98,CSE,Data Science:Advanced;C++:Intermediate;JavaScript:Advanced;Python:Beginner;Machine Learning:Intermediate,1
6.88,95.83,1,0,6,5,66.65,63.75,74.27,70.11,IT,C++:Beginner;JavaScript:Beginner;Java:Beginner;React:Intermediate;SQL:Advanced,1
7.18,83.85,4,0,0,8,64.09,46.53,72.64,72.28,ECE,CSS:Beginner;Data Science:Beginner;Python:Intermediate,0
6.96,55.7,0,0,0,3,75.62,61.94,76.31,88.27,EEE,React:Beginner;Data Science:Advanced;Machine Learning:Intermediate,1
8.67,55.86,0,2,3,6,37.34,77.03,80.3,60.14,MECH,HTML:Beginner;SQL:Beginner;C++:Beginner;CSS:Beginner;Machine Learning:Intermediate,1
7.41,83.56,2,1,0,1,78.02,34.31,35.1,53.83,ECE,CSS:Intermediate;Machine Learning:Advanced;C++:Intermediate,0
8.82,77.67,1,0,2,7,66.06,62.85,88.35,78.48,IT,CSS:Intermediate;HTML:Beginner;Python:Intermediate;JavaScript:Beginner;C++:Beginner,1
7.16,86.94,0,1,2,3,67.66,77.94,52.9,40.45,IT,Java:Advanced;HTML:Advanced;JavaScript:Intermediate;React:Intermediate;C++:Intermediate,1
6.79,59.4,0,2,2,5,50.19,51.98,49.15,43.16,IT,CSS:Intermediate;HTML:Intermediate,1
6.3,69.94,0,0,3,7,90.27,44.37,87.19,53.23,CIVIL,Machine Learning:Intermediate;C++:Beginner,1
5.69,70.94,0,2,6,4,92.08,90.84,97.55,87.04,EEE,CSS:Beginner;HTML:Beginner;Data Science:Advanced;C++:Intermediate;Python:Intermediate,1
7.21,73.62,2,0,1,5,75.47,94.34,75.73,96.83,MECH,Data Science:Intermediate;Machine Learning:Intermediate;JavaScript:Intermediate;SQL:Advanced;React:Intermediate,1
9.1,66.02,1,1,2,3,83.06,35.79,67.01,71.16,CIVIL,React:Intermediate;Data Science:Intermediate;Python:Intermediate;Machine Learning:Intermediate,1
8.71,55.38,1,1,1,7,75.22,50.32,44.07,73.46,CSE,C++:Advanced;HTML:Intermediate;JavaScript:Intermediate;CSS:Beginner,1
7.52,68.04,0,0,4,2,74.02,70.35,65.99,69.47,CSE,C++:Intermediate;React:Intermediate;Python:Intermediate,1
5.14,69.51,0,1,4,5,45.65,50.38,95.39,66.79,IT,Machine Learning:Intermediate;React:Intermediate;HTML:Intermediate;JavaScript:Intermediate;Data Science:Advanced,1
7.33,92.08,0,0,5,0,53.82,70.82,53.55,66.45,CIVIL,HTML:Intermediate;Java:Intermediate;JavaScript:Beginner;Python:Beginner;SQL:Intermediate,1
7.86,70.51,1,3,1,0,71.52,86.61,41.39,89.84,IT,Machine Learning:Advanced;SQL:Advanced;Data Science:Beginner,1
7.83,91.06,1,1,2,1,80.38,64.38,93.65,57.6,IT,React:Intermediate;SQL:Intermediate,1
7.51,99.0,0,3,4,1,62.52,41.33,69.82,65.53,CIVIL,Python:Advanced;HTML:Intermediate;CSS:Intermediate;JavaScript:Advanced;C++:Intermediate,1
9.15,69.78,0,2,3,6,41.72,85.94,35.97,82.52,ECE,Data Science:Beginner;Java:Intermediate;SQL:Intermediate;CSS:Beginner,1
9.46,59.45,2,0,2,7,60.13,92.26,80.84,55.31,MECH,CSS:Beginner;Data Science:Advanced;React:Intermediate,1
9.26,63.29,1,0,1,6,61.27,83.23,58.51,62.02,ECE,Python:Beginner;CSS:Advanced;Data Science:Intermediate;SQL:Beginner;Machine Learning:Advanced,1
9.89,79.75,0,0,4,4,55.76,55.42,41.87,93.09,CIVIL,Machine Learning:Advanced;Data Science:Intermediate;HTML:Intermediate;Java:Advanced,1
8.98,88.19,0,1,3,6,37.96,54.48,87.39,52.74,CIVIL,React:Intermediate;Data Science:Intermediate;Java:Intermediate,1
